invoice_id,customer_id,order_id,invoice_date,due_date,subtotal,tax,shipping,total,payment_status,payment_date,payment_method,notes
INV-20240101,CUST10072,ORD100990,2023-08-07,2023-09-06,1719,137.52,480,2336.52,Paid,2023-08-29,Wire Transfer,
INV-20240102,CUST10441,ORD100284,2024-03-17,2024-04-16,39457,3156.56,0,42613.56,Paid,2024-03-22,Credit Card,Payment received - thank you
INV-20240103,CUST10272,ORD100153,2024-01-21,2024-02-20,112438,8995.04,0,110190.04000000001,Overdue,,Purchase Order,Net 30 payment terms
INV-20240104,CUST10275,ORD100545,2023-10-18,2023-11-17,23932,1914.56,0,25846.56,Overdue,,Credit Card,Thank you for your business
INV-20240105,CUST10134,ORD100738,2023-09-26,2023-10-26,91873,7349.84,0,90035.84,Pending,,Financing,
INV-20240106,CUST10249,ORD100978,2023-01-25,2023-02-24,122126,9770.08,0,125790.08,Paid,2023-02-10,Financing,Payment received - thank you
INV-20240107,CUST10373,ORD100550,2023-03-06,2023-04-05,3744,299.52,150,4193.52,Paid,2023-03-18,Financing,Contact accounting for questions
INV-20240108,CUST10189,ORD100052,2023-11-02,2023-12-02,55198,4415.84,0,54094.84,Paid,2023-11-15,Purchase Order,Payment received - thank you
INV-20240109,CUST10177,ORD100491,2023-09-11,2023-10-11,41632,3330.56,0,44962.56,Overdue,,Credit Card,Contact accounting for questions
INV-20240110,CUST10435,ORD100963,2024-10-01,2024-10-31,91422,7313.76,0,89593.76,Paid,2024-10-11,Purchase Order,Contact accounting for questions
INV-20240111,CUST10229,ORD100569,2024-04-13,2024-05-13,65591,5247.28,0,67559.28,Paid,2024-05-03,Purchase Order,Contact accounting for questions
INV-20240112,CUST10434,ORD100722,2023-12-12,2024-01-11,108985,8718.8,0,106805.8,Pending,,Purchase Order,Payment received - thank you
INV-20240113,CUST10423,ORD100906,2023-04-26,2023-05-26,52202,4176.16,0,51158.16,Paid,2023-05-19,Purchase Order,Payment received - thank you
INV-20240114,CUST10271,ORD100420,2023-04-04,2023-05-04,117807,9424.56,0,121341.56,Paid,2023-04-14,Purchase Order,Net 30 payment terms
INV-20240115,CUST10258,ORD100547,2024-08-27,2024-09-26,7067,565.36,212,7844.36,Paid,2024-09-13,Financing,Net 30 payment terms
INV-20240116,CUST10348,ORD100462,2024-08-04,2024-09-03,34680,2774.4,0,37454.4,Pending,,Credit Card,
INV-20240117,CUST10242,ORD100393,2024-09-21,2024-10-21,44484,3558.72,0,48042.72,Overdue,,Purchase Order,Payment received - thank you
INV-20240118,CUST10311,ORD100400,2024-01-21,2024-02-20,23932,1914.56,0,25846.56,Paid,2024-02-11,Wire Transfer,Payment received - thank you
INV-20240119,CUST10121,ORD100067,2024-12-28,2025-01-27,93871,7509.68,0,91993.68,Overdue,,Financing,Net 30 payment terms
INV-20240120,CUST10406,ORD100463,2023-10-04,2023-11-03,54918,4393.44,0,53820.44,Paid,2023-10-22,Purchase Order,Net 30 payment terms
INV-20240121,CUST10050,ORD100089,2024-07-23,2024-08-22,47387,3790.96,0,51177.96,Paid,2024-07-24,Purchase Order,Net 30 payment terms
INV-20240122,CUST10392,ORD100200,2024-01-12,2024-02-11,77243,6179.44,0,79560.44,Paid,2024-01-28,Credit Card,Net 30 payment terms
INV-20240123,CUST10220,ORD100368,2023-11-28,2023-12-28,101020,8081.6,0,104050.6,Paid,2023-12-01,Purchase Order,
INV-20240124,CUST10240,ORD100765,2024-09-17,2024-10-17,52523,4201.84,0,51472.84,Paid,2024-09-28,Purchase Order,Thank you for your business
INV-20240125,CUST10039,ORD100998,2023-12-26,2024-01-25,54262,4340.96,0,53176.96,Paid,2024-01-04,Financing,Thank you for your business
INV-20240126,CUST10125,ORD100500,2024-09-06,2024-10-06,5374,429.92,418,6221.92,Overdue,,Wire Transfer,Payment received - thank you
INV-20240127,CUST10406,ORD100474,2023-06-28,2023-07-28,68443,5475.44,0,70496.44,Pending,,Purchase Order,
INV-20240128,CUST10265,ORD100352,2023-02-06,2023-03-08,85529,6842.32,0,88095.32,Overdue,,Credit Card,Net 30 payment terms
INV-20240129,CUST10121,ORD100614,2023-08-14,2023-09-13,54551,4364.08,0,56188.08,Paid,2023-09-02,Financing,Payment received - thank you
INV-20240130,CUST10409,ORD100448,2023-07-17,2023-08-16,90670,7253.6,0,88856.6,Pending,,Financing,Payment received - thank you
INV-20240131,CUST10426,ORD100357,2023-09-10,2023-10-10,20360,1628.8,0,21988.8,Pending,,Financing,Thank you for your business
INV-20240132,CUST10340,ORD100262,2023-11-22,2023-12-22,46175,3694.0,0,49869.0,Overdue,,Financing,
INV-20240133,CUST10173,ORD100791,2024-08-15,2024-09-14,49327,3946.16,0,53273.16,Paid,2024-08-31,Financing,Contact accounting for questions
INV-20240134,CUST10323,ORD100877,2023-08-08,2023-09-07,89984,7198.72,0,92683.72,Pending,,Purchase Order,Thank you for your business
INV-20240135,CUST10160,ORD100720,2024-07-20,2024-08-19,40377,3230.16,0,43607.16,Paid,2024-07-21,Wire Transfer,Net 30 payment terms
INV-20240136,CUST10115,ORD100384,2023-03-18,2023-04-17,23932,1914.56,0,25846.56,Paid,2023-03-28,Financing,Net 30 payment terms
INV-20240137,CUST10173,ORD100425,2023-06-18,2023-07-18,32194,2575.52,0,34769.52,Pending,,Financing,Thank you for your business
INV-20240138,CUST10497,ORD100233,2023-12-29,2024-01-28,97538,7803.04,0,100465.04,Paid,2024-01-13,Wire Transfer,Net 30 payment terms
INV-20240139,CUST10327,ORD100647,2024-02-11,2024-03-12,66687,5334.96,0,65353.96,Pending,,Financing,Net 30 payment terms
INV-20240140,CUST10176,ORD100604,2024-10-10,2024-11-09,26868,2149.44,0,29017.44,Overdue,,Wire Transfer,
INV-20240141,CUST10329,ORD100829,2023-08-24,2023-09-23,80525,6442.0,0,78915.0,Paid,2023-09-15,Credit Card,Payment received - thank you
INV-20240142,CUST10069,ORD100001,2024-03-22,2024-04-21,24923,1993.84,0,26916.84,Pending,,Purchase Order,Payment received - thank you
INV-20240143,CUST10148,ORD100119,2023-07-11,2023-08-10,3438,275.04,360,4073.04,Paid,2023-08-06,Purchase Order,Contact accounting for questions
INV-20240144,CUST10493,ORD100478,2023-03-02,2023-04-01,53707,4296.56,0,52633.56,Paid,2023-03-28,Purchase Order,Net 30 payment terms
INV-20240145,CUST10314,ORD100772,2024-12-24,2025-01-23,89487,7158.96,0,92171.96,Paid,2024-12-26,Purchase Order,Thank you for your business
INV-20240146,CUST10395,ORD100707,2023-09-27,2023-10-27,57622,4609.76,0,56469.76,Paid,2023-10-21,Purchase Order,Contact accounting for questions
INV-20240147,CUST10371,ORD100282,2023-06-28,2023-07-28,68328,5466.24,0,66962.24,Pending,,Purchase Order,Thank you for your business
INV-20240148,CUST10328,ORD100063,2024-08-21,2024-09-20,30814,2465.12,0,33279.12,Paid,2024-09-01,Credit Card,Net 30 payment terms
INV-20240149,CUST10365,ORD100134,2024-04-15,2024-05-15,46324,3705.92,0,50029.92,Paid,2024-05-01,Purchase Order,Thank you for your business
INV-20240150,CUST10362,ORD100766,2024-01-04,2024-02-03,103558,8284.64,0,101487.64,Paid,2024-01-25,Financing,
INV-20240151,CUST10410,ORD100271,2023-09-16,2023-10-16,25173,2013.84,0,27186.84,Overdue,,Purchase Order,Net 30 payment terms
INV-20240152,CUST10381,ORD100206,2024-07-14,2024-08-13,50563,4045.04,0,49552.04,Pending,,Credit Card,Payment received - thank you
INV-20240153,CUST10100,ORD100794,2023-08-06,2023-09-05,125274,10021.92,0,122768.92,Paid,2023-09-03,Credit Card,Thank you for your business
INV-20240154,CUST10321,ORD100438,2023-02-12,2023-03-14,4222,337.76,487,5046.76,Pending,,Purchase Order,Net 30 payment terms
INV-20240155,CUST10369,ORD100538,2024-05-17,2024-06-16,155386,12430.88,0,160047.88,Paid,2024-06-09,Credit Card,Contact accounting for questions
INV-20240156,CUST10284,ORD100615,2024-06-07,2024-07-07,158414,12673.12,0,163167.12,Paid,2024-06-25,Financing,Net 30 payment terms
INV-20240157,CUST10330,ORD100936,2024-09-13,2024-10-13,3744,299.52,167,4210.52,Paid,2024-09-15,Purchase Order,
INV-20240158,CUST10053,ORD100492,2024-05-01,2024-05-31,64737,5178.96,0,63442.96,Overdue,,Wire Transfer,Payment received - thank you
INV-20240159,CUST10471,ORD100857,2023-03-24,2023-04-23,28288,2263.04,0,30551.04,Pending,,Financing,Net 30 payment terms
INV-20240160,CUST10393,ORD100679,2024-06-25,2024-07-25,121896,9751.68,0,125553.68,Overdue,,Purchase Order,Thank you for your business
INV-20240161,CUST10223,ORD100907,2023-07-30,2023-08-29,69514,5561.12,0,71600.12,Paid,2023-08-13,Financing,Net 30 payment terms
INV-20240162,CUST10055,ORD100413,2024-06-21,2024-07-21,170489,13639.12,0,175604.12,Paid,2024-07-14,Purchase Order,Payment received - thank you
INV-20240163,CUST10183,ORD100995,2023-07-13,2023-08-12,69837,5586.96,0,68440.96,Pending,,Credit Card,
INV-20240164,CUST10490,ORD100292,2024-04-17,2024-05-17,53953,4316.24,0,55572.24,Pending,,Wire Transfer,
INV-20240165,CUST10356,ORD100817,2024-10-26,2024-11-25,33817,2705.36,0,36522.36,Paid,2024-11-19,Credit Card,Contact accounting for questions
INV-20240166,CUST10427,ORD100225,2023-06-23,2023-07-23,12298,983.84,0,13281.84,Paid,2023-07-16,Credit Card,Payment received - thank you
INV-20240167,CUST10350,ORD100582,2023-10-21,2023-11-20,135089,10807.12,0,132388.12,Paid,2023-10-23,Financing,
INV-20240168,CUST10099,ORD100324,2023-12-10,2024-01-09,81848,6547.84,0,80211.84,Paid,2023-12-12,Wire Transfer,Contact accounting for questions
INV-20240169,CUST10340,ORD100806,2024-06-18,2024-07-18,23455,1876.4,0,25331.4,Paid,2024-07-06,Purchase Order,
INV-20240170,CUST10102,ORD100216,2024-07-29,2024-08-28,57861,4628.88,0,56703.88,Paid,2024-07-31,Purchase Order,Thank you for your business
INV-20240171,CUST10356,ORD100803,2024-12-08,2025-01-07,3921,313.68,464,4698.68,Paid,2024-12-12,Purchase Order,
INV-20240172,CUST10150,ORD100909,2024-08-20,2024-09-19,85919,6873.52,0,84201.52,Paid,2024-09-09,Wire Transfer,Net 30 payment terms
INV-20240173,CUST10391,ORD100258,2024-09-30,2024-10-30,42622,3409.76,0,46031.76,Paid,2024-10-26,Wire Transfer,Thank you for your business
INV-20240174,CUST10145,ORD100668,2023-10-21,2023-11-20,59658,4772.64,0,61448.64,Pending,,Purchase Order,Contact accounting for questions
INV-20240175,CUST10374,ORD100480,2024-09-04,2024-10-04,6333,506.64,56,6895.64,Pending,,Wire Transfer,Contact accounting for questions
INV-20240176,CUST10301,ORD100858,2023-05-04,2023-06-03,78976,6318.08,0,81346.08,Paid,2023-05-08,Wire Transfer,Contact accounting for questions
INV-20240177,CUST10015,ORD100002,2023-04-20,2023-05-20,82321,6585.68,0,84790.68,Paid,2023-05-08,Wire Transfer,Payment received - thank you
INV-20240178,CUST10443,ORD100050,2024-08-22,2024-09-21,93149,7451.92,0,95943.92,Paid,2024-09-16,Credit Card,Net 30 payment terms
INV-20240179,CUST10377,ORD100372,2023-08-18,2023-09-17,26641,2131.28,0,28772.28,Paid,2023-09-10,Purchase Order,Thank you for your business
INV-20240180,CUST10234,ORD100182,2024-08-02,2024-09-01,71898,5751.84,0,70460.84,Paid,2024-08-04,Financing,
INV-20240181,CUST10341,ORD100677,2024-08-12,2024-09-11,29253,2340.24,0,31593.239999999998,Pending,,Credit Card,
INV-20240182,CUST10212,ORD100697,2023-08-18,2023-09-17,48090,3847.2,0,51937.2,Overdue,,Purchase Order,Contact accounting for questions
INV-20240183,CUST10348,ORD100849,2023-08-11,2023-09-10,32661,2612.88,0,35273.88,Overdue,,Financing,Contact accounting for questions
INV-20240184,CUST10144,ORD100149,2023-01-13,2023-02-12,87542,7003.36,0,85791.36,Paid,2023-01-17,Financing,Contact accounting for questions
INV-20240185,CUST10424,ORD100198,2023-06-06,2023-07-06,29329,2346.32,0,31675.32,Pending,,Purchase Order,
INV-20240186,CUST10301,ORD100566,2024-04-07,2024-05-07,28747,2299.76,0,31046.760000000002,Paid,2024-04-30,Purchase Order,Net 30 payment terms
INV-20240187,CUST10157,ORD100470,2023-04-16,2023-05-16,44047,3523.76,0,47570.76,Paid,2023-05-16,Financing,Net 30 payment terms
INV-20240188,CUST10074,ORD100273,2024-11-19,2024-12-19,21830,1746.4,0,23576.4,Paid,2024-11-22,Purchase Order,Payment received - thank you
INV-20240189,CUST10052,ORD100887,2024-01-01,2024-01-31,147584,11806.72,0,152011.72,Paid,2024-01-28,Wire Transfer,
INV-20240190,CUST10358,ORD100081,2023-01-19,2023-02-18,69242,5539.36,0,67857.36,Paid,2023-02-12,Financing,Payment received - thank you
INV-20240191,CUST10126,ORD100057,2023-05-29,2023-06-28,38904,3112.32,0,42016.32,Paid,2023-06-19,Credit Card,
INV-20240192,CUST10173,ORD100473,2024-08-30,2024-09-29,51871,4149.68,0,50833.68,Pending,,Wire Transfer,Contact accounting for questions
INV-20240193,CUST10131,ORD100548,2023-03-27,2023-04-26,82970,6637.6,0,81310.6,Paid,2023-04-15,Credit Card,Contact accounting for questions
INV-20240194,CUST10446,ORD100785,2024-11-03,2024-12-03,45990,3679.2,0,49669.2,Overdue,,Wire Transfer,Net 30 payment terms
INV-20240195,CUST10258,ORD100845,2024-12-29,2025-01-28,35526,2842.08,0,38368.08,Paid,2025-01-10,Purchase Order,Payment received - thank you
INV-20240196,CUST10324,ORD100714,2024-09-24,2024-10-24,155230,12418.4,0,159887.4,Paid,2024-10-24,Credit Card,Contact accounting for questions
INV-20240197,CUST10440,ORD100346,2024-07-21,2024-08-20,99489,7959.12,0,97500.12,Paid,2024-08-02,Purchase Order,Net 30 payment terms
INV-20240198,CUST10064,ORD100856,2024-08-31,2024-09-30,77961,6236.88,0,80299.88,Overdue,,Financing,
INV-20240199,CUST10328,ORD100010,2024-07-20,2024-08-19,138972,11117.76,0,136192.76,Paid,2024-08-02,Credit Card,Contact accounting for questions
INV-20240200,CUST10048,ORD100163,2023-05-04,2023-06-03,56534,4522.72,0,55403.72,Paid,2023-05-15,Financing,Net 30 payment terms
